year,date,painting,sculpture,share
1929,1929-01-01,20,2,0.9090909090909091
1930,1930-01-01,20,12,0.625
1931,1931-01-01,13,8,0.6190476190476191
1932,1932-01-01,19,9,0.6785714285714286
1933,1933-01-01,14,6,0.7
1934,1934-01-01,13,10,0.5652173913043478
1935,1935-01-01,14,11,0.56
1936,1936-01-01,14,14,0.5
1937,1937-01-01,19,5,0.7916666666666666
1938,1938-01-01,21,10,0.6774193548387096
1939,1939-01-01,23,12,0.6571428571428571
1940,1940-01-01,52,13,0.8
1941,1941-01-01,25,10,0.7142857142857143
1942,1942-01-01,31,9,0.775
1943,1943-01-01,18,5,0.782608695652174
1944,1944-01-01,24,5,0.8275862068965517
1945,1945-01-01,15,11,0.5769230769230769
1946,1946-01-01,26,7,0.7878787878787878
1947,1947-01-01,21,11,0.65625
1948,1948-01-01,29,10,0.7435897435897436
1949,1949-01-01,34,5,0.8717948717948718
1950,1950-01-01,40,15,0.7272727272727273
1951,1951-01-01,17,14,0.5483870967741935
1952,1952-01-01,27,15,0.6428571428571429
1953,1953-01-01,27,16,0.627906976744186
1954,1954-01-01,29,17,0.6304347826086957
1955,1955-01-01,28,9,0.7567567567567568
1956,1956-01-01,34,11,0.7555555555555555
1957,1957-01-01,35,20,0.6363636363636364
1958,1958-01-01,32,19,0.6274509803921569
1959,1959-01-01,42,30,0.5833333333333334
1960,1960-01-01,39,42,0.48148148148148145
1961,1961-01-01,50,41,0.5494505494505495
1962,1962-01-01,48,48,0.5
1963,1963-01-01,46,58,0.4423076923076923
1964,1964-01-01,58,69,0.4566929133858268
1965,1965-01-01,38,42,0.475
1966,1966-01-01,39,67,0.36792452830188677
1967,1967-01-01,29,83,0.25892857142857145
1968,1968-01-01,47,46,0.5053763440860215
1969,1969-01-01,32,58,0.35555555555555557
1970,1970-01-01,24,28,0.46153846153846156
1971,1971-01-01,18,21,0.46153846153846156
1972,1972-01-01,22,30,0.4230769230769231
1973,1973-01-01,18,18,0.5
1974,1974-01-01,27,13,0.675
1975,1975-01-01,26,12,0.6842105263157895
1976,1976-01-01,28,22,0.56
1977,1977-01-01,59,28,0.6781609195402298
1978,1978-01-01,17,14,0.5483870967741935
1979,1979-01-01,24,10,0.7058823529411765
1980,1980-01-01,11,23,0.3235294117647059
1981,1981-01-01,30,11,0.7317073170731707
1982,1982-01-01,15,13,0.5357142857142857
1983,1983-01-01,16,15,0.5161290322580645
1984,1984-01-01,33,13,0.717391304347826
1985,1985-01-01,16,16,0.5
1986,1986-01-01,13,11,0.5416666666666666
1987,1987-01-01,27,27,0.5
1988,1988-01-01,18,20,0.47368421052631576
1989,1989-01-01,15,19,0.4411764705882353
1990,1990-01-01,8,14,0.36363636363636365
1991,1991-01-01,11,19,0.36666666666666664
1992,1992-01-01,10,14,0.4166666666666667
1993,1993-01-01,8,15,0.34782608695652173
1994,1994-01-01,9,20,0.3103448275862069
1995,1995-01-01,5,11,0.3125
1996,1996-01-01,8,11,0.42105263157894735
1997,1997-01-01,12,13,0.48
1998,1998-01-01,3,11,0.21428571428571427
1999,1999-01-01,3,6,0.3333333333333333
2000,2000-01-01,14,10,0.5833333333333334
2001,2001-01-01,9,4,0.6923076923076923
2002,2002-01-01,10,10,0.5
2003,2003-01-01,5,13,0.2777777777777778
2004,2004-01-01,8,10,0.4444444444444444
2005,2005-01-01,20,11,0.6451612903225806
2006,2006-01-01,7,12,0.3684210526315789
2007,2007-01-01,5,12,0.29411764705882354
2008,2008-01-01,23,12,0.6571428571428571
2009,2009-01-01,7,4,0.6363636363636364
2010,2010-01-01,8,8,0.5
2011,2011-01-01,14,9,0.6086956521739131
2012,2012-01-01,6,23,0.20689655172413793
2013,2013-01-01,14,11,0.56
2014,2014-01-01,7,14,0.3333333333333333
2015,2015-01-01,7,6,0.5384615384615384
2016,2016-01-01,3,2,0.6
2017,2017-01-01,10,5,0.6666666666666666
2018,2018-01-01,3,2,0.6
2019,2019-01-01,2,4,0.3333333333333333
2020,2020-01-01,11,3,0.7857142857142857
2021,2021-01-01,16,5,0.7619047619047619
2022,2022-01-01,7,3,0.7
2023,2023-01-01,3,6,0.3333333333333333
