year,date,quantum,classical,share
1950,1950-01-01,8959,939,0.9051323499696908
1951,1951-01-01,9495,1166,0.8906293968670856
1952,1952-01-01,9893,1184,0.8931118533899071
1953,1953-01-01,10754,1351,0.8883932259396944
1954,1954-01-01,11322,1267,0.899356581142267
1955,1955-01-01,11580,1351,0.8955223880597015
1956,1956-01-01,12980,1493,0.8968423961860015
1957,1957-01-01,13962,1664,0.8935108153078203
1958,1958-01-01,16361,2220,0.8805231150099564
1959,1959-01-01,18046,2344,0.8850416871015203
1960,1960-01-01,21334,2766,0.8852282157676349
1961,1961-01-01,23240,3241,0.8776103621464446
1962,1962-01-01,26285,3578,0.8801861835716438
1963,1963-01-01,30152,4155,0.8788876905587781
1964,1964-01-01,31679,4367,0.8788492481828775
1965,1965-01-01,36484,4953,0.8804691459323792
1966,1966-01-01,39506,5425,0.8792593087178118
1967,1967-01-01,44724,5790,0.8853783109632973
1968,1968-01-01,48725,6125,0.8883318140382862
1969,1969-01-01,52226,6630,0.8873521815957591
1970,1970-01-01,58382,7471,0.8865503469849513
1971,1971-01-01,59334,7474,0.8881271703987547
1972,1972-01-01,63731,8767,0.879072526138652
1973,1973-01-01,67521,8589,0.8871501773748521
1974,1974-01-01,70475,8770,0.8893305571329422
1975,1975-01-01,73447,9368,0.8868803960635151
1976,1976-01-01,75932,9485,0.8889565309013429
1977,1977-01-01,78337,9865,0.8881544636176051
1978,1978-01-01,80434,9959,0.8898255395882424
1979,1979-01-01,84287,10316,0.8909548322991871
1980,1980-01-01,88768,10614,0.8931999758507577
1981,1981-01-01,92254,10871,0.8945842424242424
1982,1982-01-01,91608,11089,0.8920221622832215
1983,1983-01-01,97621,12299,0.8881095342066958
1984,1984-01-01,101503,12655,0.889144869391545
1985,1985-01-01,107536,13299,0.8899408284023669
1986,1986-01-01,112057,13871,0.8898497554157931
1987,1987-01-01,119269,14195,0.8936417311035185
1988,1988-01-01,124610,15040,0.8923021840315073
1989,1989-01-01,131363,16152,0.8905060502321798
1990,1990-01-01,141906,16954,0.8932770993327458
1991,1991-01-01,147661,17939,0.8916727053140097
1992,1992-01-01,154888,18520,0.8931998523712862
1993,1993-01-01,162982,19441,0.8934290084035456
1994,1994-01-01,166769,19648,0.8946018871669429
1995,1995-01-01,173277,20003,0.8965076572847682
1996,1996-01-01,187906,21502,0.8973200641809291
1997,1997-01-01,189809,21826,0.8968696104141565
1998,1998-01-01,197701,22320,0.8985551379186533
1999,1999-01-01,203548,23235,0.8975452304626008
2000,2000-01-01,229162,26247,0.8972354145703558
2001,2001-01-01,238340,27320,0.8971617857411729
2002,2002-01-01,336208,34254,0.907537075327564
2003,2003-01-01,316859,33393,0.9046600733186392
2004,2004-01-01,323192,34162,0.9044029169954723
2005,2005-01-01,364666,37493,0.9067707051191195
2006,2006-01-01,399663,40210,0.9085872513202674
2007,2007-01-01,411006,42179,0.9069276344097885
2008,2008-01-01,435508,44908,0.9065226803437021
2009,2009-01-01,462452,47020,0.9077083725896614
2010,2010-01-01,499204,48813,0.9109279456659192
2011,2011-01-01,527170,52863,0.9088620819849905
2012,2012-01-01,543342,54547,0.9087673464472502
2013,2013-01-01,566703,55870,0.9102595197671598
2014,2014-01-01,577012,56073,0.9114289550376332
2015,2015-01-01,572090,55494,0.911575183561085
2016,2016-01-01,570906,55503,0.9113949512219652
2017,2017-01-01,573074,56831,0.9097784586564641
2018,2018-01-01,600895,58361,0.9114744499860449
2019,2019-01-01,621425,59326,0.9128521294864055
2020,2020-01-01,640441,60529,0.9136496569040045
2021,2021-01-01,655992,63857,0.9112911179983579
2022,2022-01-01,650353,64237,0.9101064946332862
2023,2023-01-01,694976,66593,0.9125581529710374
