year,date,value
1996,1996-01-01,1.59310185909271
1998,1998-01-01,1.61003684997559
2000,2000-01-01,1.69612085819244
2002,2002-01-01,1.55174136161804
2003,2003-01-01,1.568514585495
2004,2004-01-01,1.55983471870422
2005,2005-01-01,1.60669600963593
2006,2006-01-01,1.64094340801239
2007,2007-01-01,1.49368762969971
2008,2008-01-01,1.53245806694031
2009,2009-01-01,1.39833772182465
2010,2010-01-01,1.4438453912735
2011,2011-01-01,1.45509660243988
2012,2012-01-01,1.29439389705658
2013,2013-01-01,1.26038861274719
2014,2014-01-01,1.27628946304321
2015,2015-01-01,1.24220669269562
2016,2016-01-01,1.48562073707581
2017,2017-01-01,1.61945760250092
2018,2018-01-01,1.61313998699188
2019,2019-01-01,1.33457458019257
2020,2020-01-01,1.2384375333786
2021,2021-01-01,1.44095718860626
2022,2022-01-01,1.42443990707397
2023,2023-01-01,1.39373278617859
